Freq,Magnitude
0.000000000000000000e+00,6.348000000000000000e+03
1.575299306868305021e-04,5.019765872763065317e+01
3.150598613736610041e-04,5.446710064629100145e+01
4.725897920604915062e-04,5.486331410865599167e+01
6.301197227473220083e-04,4.551048883133826450e+01
7.876496534341525645e-04,2.709018902005440310e+01
9.451795841209830124e-04,6.627288404857414150e+01
1.102709514807813460e-03,5.692564235782619875e+01
1.260239445494644017e-03,6.191724775147944371e+01
1.417769376181474573e-03,4.507638627631754957e+01
1.575299306868305129e-03,3.404240031933790078e+01
1.732829237555135468e-03,6.748061448695072784e+01
1.890359168241966025e-03,3.070682655679906503e+01
2.047889098928796364e-03,3.844343390877686062e+01
2.205419029615626920e-03,4.307163971151000226e+01
2.362948960302457477e-03,7.440904869116315012e+01
2.520478890989288033e-03,3.404191380144489898e+01
2.678008821676118589e-03,4.453945581954583588e+01
2.835538752362949146e-03,3.905651612392819061e+01
2.993068683049779702e-03,6.492128521594983681e+01
3.150598613736610258e-03,4.279989241516508969e+01
3.308128544423440381e-03,6.069003400804187009e+01
3.465658475110270937e-03,6.466593430584912028e+01
3.623188405797101493e-03,5.098196384223473387e+01
3.780718336483932050e-03,6.323364781835228143e+01
3.938248267170762172e-03,3.413580560291310917e+01
4.095778197857592728e-03,3.151880129703990008e+01
4.253308128544423285e-03,5.148952419165812699e+01
4.410838059231253841e-03,2.647266232890373416e+01
4.568367989918084397e-03,5.567918214641558450e+01
4.725897920604914954e-03,8.181417166589633894e+01
4.883427851291745510e-03,3.384772539291244442e+01
5.040957781978576066e-03,3.398570304591762437e+01
5.198487712665406622e-03,4.537567958980199023e+01
5.356017643352237179e-03,6.564799232643893845e+01
5.513547574039067735e-03,3.773811961726425324e+01
5.671077504725898291e-03,4.416573656038583096e+01
5.828607435412728847e-03,2.250474968867764858e+01
5.986137366099559404e-03,4.485797030611399094e+01
6.143667296786389960e-03,2.469527534669803970e+01
6.301197227473220516e-03,4.502510589249229156e+01
6.458727158160050205e-03,2.484637452498174071e+01
6.616257088846880761e-03,4.544900302533156378e+01
