Freq,Magnitude
0.000000000000000000e+00,5.352000000000000000e+03
1.868460388639760900e-04,2.957810907677455816e+02
3.736920777279521800e-04,1.099445518177548422e+02
5.605381165919282429e-04,1.234861672215023418e+02
7.473841554559043599e-04,1.185951085341095279e+02
9.342301943198804770e-04,6.188226179271219962e+01
1.121076233183856486e-03,6.648645607409611102e+01
1.307922272047832603e-03,8.492099415872161217e+01
1.494768310911808720e-03,3.199567043052744708e+01
1.681614349775784837e-03,3.597188176843780383e+01
1.868460388639760954e-03,4.163881481890031466e+01
2.055306427503737071e-03,3.538737835526312381e+01
2.242152466367712971e-03,2.979731228602965842e+01
2.428998505231689305e-03,3.170689697904227700e+01
2.615844544095665206e-03,3.034479126156628581e+01
2.802690582959641540e-03,1.181876419023521230e+01
2.989536621823617440e-03,2.577307098055273471e+01
3.176382660687593340e-03,6.127938214843585918e+00
3.363228699551569674e-03,3.101959653121159732e+01
3.550074738415545574e-03,3.758833611079130321e+01
3.736920777279521908e-03,4.141120977316415974e+01
3.923766816143497808e-03,3.010319401798403760e+01
4.110612855007474142e-03,2.677397134703942783e+01
4.297458893871450476e-03,1.917029697821512713e+01
4.484304932735425943e-03,2.296878052249112656e+01
4.671150971599402277e-03,3.665244461480542526e+01
4.857997010463378611e-03,4.103071854542078967e+01
5.044843049327354077e-03,4.730068938174302673e+01
5.231689088191330411e-03,4.326309448646316014e+01
5.418535127055306745e-03,3.174794429168904486e+01
5.605381165919283079e-03,3.048457099368711809e+01
5.792227204783258546e-03,1.269966805858370762e+01
5.979073243647234880e-03,3.343983203371819002e+01
6.165919282511211214e-03,4.399311574490902643e+01
6.352765321375186680e-03,3.686683777757004066e+01
6.539611360239163014e-03,2.090635524782146604e+01
6.726457399103139348e-03,2.751715361017887673e+01
6.913303437967115682e-03,2.595838596490596473e+01
7.100149476831091148e-03,3.527735917680165301e+01
7.286995515695067482e-03,2.667982932291894471e+01
7.473841554559043816e-03,3.440044753635748975e+01
7.660687593423019283e-03,3.279193323694201467e+01
7.847533632286995617e-03,1.826220684492205493e+01
8.034379671150971083e-03,3.723953443912864003e+01
8.221225710014948285e-03,5.368860946467356143e+01
8.408071748878923751e-03,4.760637226162042168e+01
8.594917787742900953e-03,5.512915446049366608e+01
8.781763826606876419e-03,5.112381637703527559e+01
8.968609865470851886e-03,3.556457613164666043e+01
9.155455904334829087e-03,5.058843247915831398e+01
9.342301943198804554e-03,6.912813844173363975e+01
9.529147982062780020e-03,4.348901689564580408e+01
9.715994020926757221e-03,2.757006271239083262e+01
9.902840059790732688e-03,7.619149199233353897e+01
1.008968609865470815e-02,8.642533880372366184e+01
1.027653213751868536e-02,5.610803047472111871e+01
1.046337817638266082e-02,3.224697081698717227e+01
1.065022421524663629e-02,3.726271005671171821e+01
1.083707025411061349e-02,1.378674375417656606e+01
1.102391629297458896e-02,2.406401635696350638e+01
1.121076233183856616e-02,2.508568514712476016e+01
1.139760837070254162e-02,1.465506842090075779e+01
1.158445440956651709e-02,2.130859676970834471e+01
1.177130044843049429e-02,1.962985371062683626e+01
1.195814648729446976e-02,1.278462225464811652e+01
1.214499252615844523e-02,2.503573843993374481e+01
1.233183856502242243e-02,3.549514286339875468e+01
1.251868460388639789e-02,2.425483165405462671e+01
1.270553064275037336e-02,2.506625492088107166e+01
1.289237668161435056e-02,3.675260384680287018e+01
1.307922272047832603e-02,1.946960145719824453e+01
1.326606875934230323e-02,2.300388238944249508e+01
1.345291479820627870e-02,2.658627907805493962e+01
1.363976083707025416e-02,3.930058921918438841e+01
1.382660687593423136e-02,3.500196559232429649e+01
1.401345291479820683e-02,3.241551934366777488e+01
1.420029895366218230e-02,3.250197270860276433e+01
1.438714499252615950e-02,2.655196823814720375e+01
1.457399103139013496e-02,6.380482151861001228e+01
