Freq,Magnitude
0.000000000000000000e+00,5.462999999999998181e+03
1.830496064433461583e-04,1.113332533438625234e+02
3.660992128866923166e-04,9.930243459191704858e+01
5.491488193300384478e-04,9.241616747585587177e+01
7.321984257733846332e-04,3.873373678956991739e+01
9.152480322167308186e-04,6.878281339055925514e+01
1.098297638660076896e-03,3.251146854965874411e+01
1.281347245103423189e-03,3.377545189896166988e+01
1.464396851546769266e-03,4.822037553072277660e+01
1.647446457990115343e-03,5.295939949889140053e+01
1.830496064433461637e-03,7.650682105605099537e+01
2.013545670876807931e-03,4.131286153504873226e+01
2.196595277320153791e-03,5.714069057155629139e+01
2.379644883763500085e-03,3.611616572687155724e+01
2.562694490206846379e-03,3.876672226971714963e+01
2.745744096650192239e-03,4.930444013423006311e+01
2.928793703093538533e-03,3.360987588224519129e+01
3.111843309536884827e-03,2.288771961818743961e+01
3.294892915980230687e-03,2.730165188423070077e+01
3.477942522423576981e-03,4.412417789335847829e+01
3.660992128866923274e-03,4.077570141007648630e+01
3.844041735310269135e-03,5.030460378265867405e+01
4.027091341753615862e-03,5.047393902915024455e+01
4.210140948196961289e-03,3.068283270592204204e+01
4.393190554640307582e-03,5.662943149439729495e+01
4.576240161083653876e-03,2.498462122212554348e+01
4.759289767527000170e-03,5.999060826022563475e+01
4.942339373970346464e-03,2.791676988373643553e+01
5.125388980413692758e-03,5.877087528923522086e+01
5.308438586857038184e-03,3.694970189514140202e+01
5.491488193300384478e-03,3.450075854219808491e+01
5.674537799743730772e-03,1.750699593441588320e+01
5.857587406187077066e-03,1.864046909071510782e+01
6.040637012630423359e-03,3.461683264733499499e+01
6.223686619073769653e-03,4.033460669225149786e+01
6.406736225517115947e-03,4.216066981672951641e+01
6.589785831960461374e-03,4.705969617691592788e+01
6.772835438403807667e-03,3.071075604285469041e+01
6.955885044847153961e-03,5.405720570839583417e+01
7.138934651290500255e-03,1.470790613994829599e+01
7.321984257733846549e-03,2.429942522594630816e+01
7.505033864177192843e-03,4.405873644541806300e+01
7.688083470620538269e-03,9.666720207653632713e+00
7.871133077063885430e-03,1.760342523983200635e+01
8.054182683507231724e-03,1.957067715010108699e+01
8.237232289950576283e-03,1.711706876443510694e+01
8.420281896393922577e-03,5.328036372127535003e+01
8.603331502837268871e-03,2.608590290500285391e+01
8.786381109280615165e-03,5.433668445902560507e+01
8.969430715723961459e-03,3.674250941946874605e+01
9.152480322167307752e-03,3.374530012865837136e+01
9.335529928610654046e-03,2.443777455311476743e+01
9.518579535054000340e-03,4.294092542229561360e+01
9.701629141497346634e-03,1.381696180659558237e+01
9.884678747940692928e-03,3.235664112201423137e+01
1.006772835438403922e-02,6.313001229161172034e+01
1.025077796082738552e-02,3.876868403547561570e+01
1.043382756727073181e-02,5.853365619412470977e+01
1.061687717371407637e-02,3.002395462594630260e+01
1.079992678015742266e-02,3.174538330550858944e+01
1.098297638660076896e-02,5.401130582048139672e+01
1.116602599304411525e-02,5.924928186238034300e+01
1.134907559948746154e-02,2.634456948757454953e+01
1.153212520593080784e-02,4.138758924799532934e+01
1.171517481237415413e-02,2.066297078566153189e+01
1.189822441881750043e-02,2.894103529379148654e+01
1.208127402526084672e-02,1.695464376249397276e+01
1.226432363170419301e-02,1.922391063976623471e+01
1.244737323814753931e-02,6.154685365517689632e+01
1.263042284459088560e-02,3.100258304226069939e+01
1.281347245103423189e-02,3.457087299194576246e+01
1.299652205747757645e-02,1.898360887453454637e+01
1.317957166392092275e-02,2.735656784217923487e+01
1.336262127036426904e-02,3.700538488330749942e+01
1.354567087680761533e-02,2.470797642548822992e+01
1.372872048325096163e-02,2.086683737646045955e+01
1.391177008969430792e-02,2.873183535417782508e+01
1.409481969613765422e-02,2.146043734070957498e+01
1.427786930258100051e-02,4.098541023899195324e+01
1.446091890902434680e-02,2.208624278586190925e+01
1.464396851546769310e-02,2.116527860887311263e+01
1.482701812191103939e-02,2.541626161181594767e+01
1.501006772835438569e-02,2.230892128866575064e+01
1.519311733479773198e-02,5.407954553853259938e+01
1.537616694124107654e-02,2.517920762216432706e+01
1.555921654768442283e-02,4.015915795740413330e+01
1.574226615412777086e-02,2.016893978758876571e+01
1.592531576057111542e-02,2.238863244797899199e+01
1.610836536701446345e-02,5.956388058991144874e+01
1.629141497345780801e-02,2.781874585873487149e+01
1.647446457990115257e-02,1.705411702591492684e+01
1.665751418634450060e-02,4.414661482332108733e+01
1.684056379278784515e-02,4.005469529731954026e+01
1.702361339923119318e-02,5.624660059046489380e+01
1.720666300567453774e-02,3.031243754371963206e+01
1.738971261211788577e-02,3.445377622182638788e+01
1.757276221856123033e-02,4.804786241432457672e+01
1.775581182500457836e-02,3.414905579302337202e+01
1.793886143144792292e-02,6.531926678069132208e+01
1.812191103789127095e-02,5.633814234796868448e+01
1.830496064433461550e-02,4.175550675937555667e+01
1.848801025077796353e-02,3.701287675482473816e+01
1.867105985722130809e-02,2.601137394825806126e+01
1.885410946366465265e-02,3.728939271296188451e+01
1.903715907010800068e-02,5.566853039435088135e+01
1.922020867655134524e-02,7.041977822602106585e+01
1.940325828299469327e-02,8.334720249344266563e+01
1.958630788943803783e-02,1.069353984683969827e+01
1.976935749588138586e-02,4.518688756561609665e+01
1.995240710232473041e-02,2.440868072190809812e+01
2.013545670876807844e-02,3.412647135116414177e+01
2.031850631521142300e-02,5.076268318124495238e+01
2.050155592165477103e-02,2.762242734482444106e+01
2.068460552809811559e-02,4.048121850228874052e+01
2.086765513454146362e-02,3.873920299476050388e+01
2.105070474098480818e-02,4.575356653288858411e+01
2.123375434742815274e-02,1.996457859998116646e+01
2.141680395387150077e-02,2.189456707824810877e+01
2.159985356031484532e-02,3.582871854161494696e+01
2.178290316675819335e-02,2.314444926171742267e+01
2.196595277320153791e-02,5.931557978336302028e+01
2.214900237964488594e-02,1.502881110296877409e+01
2.233205198608823050e-02,2.706718125560015764e+01
2.251510159253157853e-02,3.644061155612816094e+01
2.269815119897492309e-02,3.003274407931641932e+01
2.288120080541827112e-02,6.036780239688052063e+01
2.306425041186161567e-02,3.343008786758061035e+01
2.324730001830496370e-02,5.155349106157169103e+01
2.343034962474830826e-02,2.064952439650536675e+01
2.361339923119165282e-02,1.026148508697296080e+01
2.379644883763500085e-02,2.402034211042090917e+01
2.397949844407834541e-02,4.385727012637580913e+01
2.416254805052169344e-02,4.193596245351870522e+01
2.434559765696503800e-02,5.644021246685066728e+01
2.452864726340838603e-02,2.535702899711924019e+01
2.471169686985173058e-02,3.008163468086535630e+01
2.489474647629507861e-02,3.450799240245680721e+01
2.507779608273842317e-02,5.920295997748236516e+01
2.526084568918177120e-02,6.873838903573687276e+01
2.544389529562511576e-02,4.612933782514613057e+01
2.562694490206846379e-02,4.611496585536171011e+01
2.580999450851180835e-02,3.039161567159040445e+01
2.599304411495515291e-02,2.619820971539241583e+01
2.617609372139850094e-02,3.844720597858793099e+01
2.635914332784184549e-02,2.267395205489177812e+01
2.654219293428519352e-02,3.368559640246566289e+01
2.672524254072853808e-02,6.278952711640907580e+01
2.690829214717188611e-02,4.317499322453143407e+01
2.709134175361523067e-02,5.119036956381839332e+01
2.727439136005857870e-02,4.392623170722003323e+01
2.745744096650192326e-02,5.541406844470230908e+01
2.764049057294527129e-02,5.583411166774057932e+01
2.782354017938861585e-02,4.730875252985940449e+01
2.800658978583196387e-02,7.748118306262885824e+01
2.818963939227530843e-02,7.130758108407981410e+01
2.837268899871865299e-02,6.742955275056930020e+01
2.855573860516200102e-02,1.197417305384954602e+02
2.873878821160534558e-02,9.248385374949064897e+01
2.892183781804869361e-02,1.602476722520410135e+02
2.910488742449203817e-02,2.509041795866049256e+02
2.928793703093538620e-02,4.494948914999256431e+02
2.947098663737873075e-02,9.816223107942830666e+02
2.965403624382207878e-02,2.532081015122735437e+02
2.983708585026542334e-02,1.391638217829110999e+02
3.002013545670877137e-02,1.529939314458808610e+02
3.020318506315211593e-02,8.429090816451865464e+01
3.038623466959546396e-02,5.813706322169802831e+01
3.056928427603880852e-02,5.321008754885291125e+01
3.075233388248215308e-02,3.430374212343888018e+01
3.093538348892550111e-02,4.162032848995799128e+01
3.111843309536884566e-02,5.564505269775544605e+01
3.130148270181219022e-02,6.385685064823725554e+01
3.148453230825554172e-02,3.020475738770521446e+01
3.166758191469888628e-02,7.524893220718642795e+01
3.185063152114223084e-02,3.482993847308178204e+01
3.203368112758557540e-02,3.077538960256254796e+01
3.221673073402892690e-02,3.969110972158961914e+01
3.239978034047227146e-02,5.281822366020813320e+01
3.258282994691561602e-02,1.464234986897885804e+01
3.276587955335896057e-02,2.909049373095821522e+01
3.294892915980230513e-02,3.551734497263891654e+01
3.313197876624565663e-02,3.853492369349331170e+01
3.331502837268900119e-02,5.097945231098014318e+01
3.349807797913234575e-02,5.785728241831104413e+01
3.368112758557569031e-02,3.319329791046170897e+01
3.386417719201904181e-02,4.849189745834155474e+01
3.404722679846238637e-02,4.041394314516605846e+01
3.423027640490573092e-02,5.922768996641256933e+01
3.441332601134907548e-02,3.457004366817272256e+01
3.459637561779242698e-02,4.882272635268556371e+01
3.477942522423577154e-02,2.979409973244781895e+01
3.496247483067911610e-02,4.496646892632628578e+01
3.514552443712246066e-02,3.793177605253417539e+01
3.532857404356580522e-02,3.003772816721757266e+01
3.551162365000915672e-02,6.238030829305958491e+01
3.569467325645250128e-02,3.643632948006454342e+01
3.587772286289584583e-02,3.696504118455082732e+01
3.606077246933919039e-02,4.078624238517667777e+01
3.624382207578254189e-02,1.616238422785745144e+01
3.642687168222588645e-02,5.751081098488170085e+01
3.660992128866923101e-02,3.210847130758983070e+01
3.679297089511257557e-02,3.766748929230433163e+01
3.697602050155592707e-02,4.045429879607186763e+01
3.715907010799927163e-02,2.035115830981275309e+01
3.734211971444261619e-02,3.510906694506832082e+01
3.752516932088596074e-02,2.355355285533092768e+01
3.770821892732930530e-02,2.856284411967033421e+01
3.789126853377265680e-02,3.690785374729829016e+01
3.807431814021600136e-02,3.163080406005967404e+01
3.825736774665934592e-02,4.801079982474802677e+01
3.844041735310269048e-02,4.747791994696533635e+01
3.862346695954604198e-02,4.688979124147456901e+01
3.880651656598938654e-02,1.118425469858639865e+01
3.898956617243273109e-02,3.369983928914641069e+01
3.917261577887607565e-02,2.312717462282203229e+01
3.935566538531942715e-02,2.552826078732184101e+01
3.953871499176277171e-02,3.621090618876459644e+01
3.972176459820611627e-02,4.637398485911334944e+01
3.990481420464946083e-02,5.569133732720283092e+01
4.008786381109280539e-02,3.546500063330568508e+01
4.027091341753615689e-02,3.667893099603658413e+01
4.045396302397950145e-02,3.635859115554603704e+01
4.063701263042284600e-02,6.735073097410656828e+01
4.082006223686619056e-02,3.402354777736613300e+01
4.100311184330954206e-02,1.954208192950848755e+01
4.118616144975288662e-02,1.630217536041929449e+01
4.136921105619623118e-02,2.384138167407929387e+01
4.155226066263957574e-02,1.764247978859480881e+01
4.173531026908292724e-02,3.032824969958444683e+01
4.191835987552627180e-02,4.077164727877902095e+01
4.210140948196961636e-02,3.450620574537427387e+01
4.228445908841296091e-02,4.392194623564578393e+01
4.246750869485630547e-02,2.774747973814319479e+01
4.265055830129965697e-02,2.406281789027891804e+01
4.283360790774300153e-02,3.260178899119931373e+01
4.301665751418634609e-02,2.088004729251518654e+01
4.319970712062969065e-02,4.674126829570045061e+01
4.338275672707304215e-02,1.296177652406355563e+01
4.356580633351638671e-02,3.513790541774502429e+01
4.374885593995973126e-02,3.114032793285898748e+01
4.393190554640307582e-02,3.257650644139157947e+01
4.411495515284642732e-02,2.750767534422717375e+01
4.429800475928977188e-02,1.360760346336495985e+01
4.448105436573311644e-02,2.498813454649635091e+01
4.466410397217646100e-02,5.534900638855938126e+01
4.484715357861980556e-02,4.002899791275967090e+01
4.503020318506315706e-02,3.412806119177452047e+01
4.521325279150650162e-02,2.265425693471553004e+01
4.539630239794984617e-02,3.906452599872750397e+01
4.557935200439319073e-02,4.015090565464549144e+01
4.576240161083654223e-02,3.129775433438215515e+01
4.594545121727988679e-02,3.926876053679363565e+01
4.612850082372323135e-02,1.630122507380817609e+01
4.631155043016657591e-02,4.562567757880704988e+01
4.649460003660992741e-02,3.657581562837308553e+01
4.667764964305327197e-02,3.986378515977922632e+01
4.686069924949661653e-02,3.892551690929811059e+01
4.704374885593996108e-02,3.994774102067960087e+01
4.722679846238330564e-02,2.147517060117653642e+01
4.740984806882665714e-02,6.603906504641211939e+01
4.759289767527000170e-02,7.633610434971443226e+01
4.777594728171334626e-02,5.121740900289444909e+01
4.795899688815669082e-02,3.475608963204522439e+01
4.814204649460004232e-02,2.412762216453900876e+01
4.832509610104338688e-02,4.954370437979565622e+01
4.850814570748673143e-02,8.838267620080694087e+01
4.869119531393007599e-02,6.271151493163883117e+01
4.887424492037342749e-02,5.709346554239115790e+01
4.905729452681677205e-02,3.097100147065984643e+01
4.924034413326011661e-02,3.139227112475641235e+01
4.942339373970346117e-02,3.342089537121482579e+01
4.960644334614680573e-02,4.705431409323828973e+01
4.978949295259015723e-02,4.653411640489891710e+01
4.997254255903350179e-02,2.970403873190245037e+01
5.015559216547684634e-02,3.334833015877343598e+01
5.033864177192019090e-02,3.896204589781019223e+01
5.052169137836354240e-02,2.921403754390225771e+01
5.070474098480688696e-02,2.986528843891015583e+01
5.088779059125023152e-02,4.339034070760435213e+01
5.107084019769357608e-02,2.884345748801338871e+01
5.125388980413692758e-02,1.302504820452204015e+01
5.143693941058027214e-02,4.259720821628590670e+01
5.161998901702361670e-02,3.350339170313972659e+01
5.180303862346696125e-02,1.745187900732791775e+01
5.198608822991030581e-02,2.742799163375624261e+01
5.216913783635365731e-02,3.730050508036498513e+01
5.235218744279700187e-02,3.648704618547922962e+01
5.253523704924034643e-02,2.784107743752741726e+01
5.271828665568369099e-02,5.108921756884866738e+01
5.290133626212704249e-02,2.305381732618128154e+01
5.308438586857038705e-02,3.528570255870628358e+01
5.326743547501373161e-02,2.366551043243837782e+01
5.345048508145707616e-02,5.021511502582855968e+01
5.363353468790042766e-02,2.282014425462453033e+01
5.381658429434377222e-02,3.972486656548446149e+01
5.399963390078711678e-02,1.855997842203890613e+01
5.418268350723046134e-02,3.648068229541532048e+01
5.436573311367380590e-02,5.472281451977949018e+01
5.454878272011715740e-02,4.003216589570617856e+01
5.473183232656050196e-02,6.792916209262899940e+01
5.491488193300384651e-02,1.876408189333593057e+01
5.509793153944719107e-02,2.796423576620652085e+01
5.528098114589054257e-02,1.195817747854500901e+01
5.546403075233388713e-02,1.541376521332620264e+01
5.564708035877723169e-02,2.862066248060553875e+01
5.583012996522057625e-02,2.135354002639576620e+01
5.601317957166392775e-02,3.541788430308285740e+01
5.619622917810727231e-02,5.850154247949330966e+01
5.637927878455061687e-02,3.198858411849731809e+01
5.656232839099396142e-02,6.553699648824550650e+01
5.674537799743730598e-02,2.364505651150907184e+01
5.692842760388065748e-02,4.554739314059695232e+01
5.711147721032400204e-02,4.306070234081604298e+01
5.729452681676734660e-02,6.107043230309707837e+01
5.747757642321069116e-02,6.470346641007644450e+01
5.766062602965404266e-02,8.256170609767616497e+01
5.784367563609738722e-02,7.634751504187588012e+01
5.802672524254073178e-02,5.635363624823752815e+01
5.820977484898407633e-02,8.916227457788905042e+01
5.839282445542742783e-02,1.736889568938842103e+02
5.857587406187077239e-02,2.105013126662535115e+02
5.875892366831411695e-02,4.191545679232214070e+02
5.894197327475746151e-02,3.777255009713014715e+02
5.912502288120080607e-02,1.615595085730391816e+02
5.930807248764415757e-02,1.124813194652818709e+02
5.949112209408750213e-02,1.117182169627024564e+02
5.967417170053084668e-02,5.833916187428069833e+01
5.985722130697419124e-02,6.877196822203468685e+01
6.004027091341754274e-02,4.017066912503888432e+01
6.022332051986088730e-02,2.701978693907669538e+01
6.040637012630423186e-02,2.894340613477736923e+01
6.058941973274757642e-02,3.862100909246943559e+01
6.077246933919092792e-02,4.381218905722356283e+01
6.095551894563427248e-02,3.827567057936940387e+01
6.113856855207761704e-02,4.758586851052852040e+01
6.132161815852096159e-02,3.117494281518720456e+01
6.150466776496430615e-02,3.218670220407839366e+01
6.168771737140765765e-02,1.767443874603826970e+01
6.187076697785100221e-02,4.332879230642143398e+01
6.205381658429434677e-02,3.142265752389718259e+01
6.223686619073769133e-02,1.962801892730037778e+01
6.241991579718104283e-02,3.014909138179413972e+01
6.260296540362438045e-02,4.011696643258480321e+01
6.278601501006773888e-02,4.527133893401684617e+01
6.296906461651108344e-02,8.096783422225014704e+01
6.315211422295442800e-02,4.662200079459035607e+01
6.333516382939777256e-02,3.689796947567717922e+01
6.351821343584111712e-02,2.908970550466007765e+01
6.370126304228446168e-02,3.413724646130506812e+01
6.388431264872780624e-02,2.782501592373792931e+01
6.406736225517115080e-02,4.246764795969144046e+01
6.425041186161449536e-02,4.922377954047748005e+01
6.443346146805785379e-02,3.161400404627042704e+01
6.461651107450119835e-02,5.126698359557161666e+01
6.479956068094454291e-02,2.734587267658366727e+01
6.498261028738788747e-02,6.395929683973706403e+01
6.516565989383123203e-02,3.744989532590406611e+01
6.534870950027457659e-02,4.296642777697239524e+01
6.553175910671792115e-02,4.285523460541831042e+01
6.571480871316126571e-02,6.475783991665790040e+01
6.589785831960461027e-02,3.664191310299211324e+01
6.608090792604796870e-02,4.399369265301852749e+01
6.626395753249131326e-02,4.159844352077134033e+01
6.644700713893465782e-02,4.129034352575006039e+01
6.663005674537800238e-02,3.821466619874447446e+01
6.681310635182134694e-02,1.985841077975007707e+01
6.699615595826469150e-02,2.092439840256189498e+01
6.717920556470803606e-02,2.076219473770654744e+01
6.736225517115138062e-02,4.728614695915896249e+01
6.754530477759473905e-02,5.724367675477822104e+01
6.772835438403808361e-02,3.775342158078539967e+01
6.791140399048142817e-02,4.913819284625517980e+01
6.809445359692477273e-02,2.239266822810106561e+01
6.827750320336811729e-02,2.469907101736109212e+01
6.846055280981146185e-02,3.902047013541389475e+01
6.864360241625480641e-02,2.312123406181703089e+01
6.882665202269815097e-02,1.969709955011674296e+01
6.900970162914149553e-02,3.477150892890429645e+01
6.919275123558485396e-02,4.641349293324658021e+01
6.937580084202819852e-02,4.405359958772763918e+01
6.955885044847154308e-02,4.998190550049679359e+01
6.974190005491488764e-02,4.888851839092748719e+01
6.992494966135823220e-02,2.419474398365227685e+01
7.010799926780157676e-02,5.489391922707218185e+01
7.029104887424492132e-02,3.767896402079118445e+01
7.047409848068826588e-02,3.052366775871647775e+01
7.065714808713161044e-02,4.344667032764709802e+01
7.084019769357496887e-02,3.270790492467303068e+01
7.102324730001831343e-02,4.370769412132220566e+01
7.120629690646165799e-02,1.997814214323270221e+01
7.138934651290500255e-02,3.732132576796347934e+01
7.157239611934834711e-02,4.176073760868750639e+01
