Freq,Magnitude
0.000000000000000000e+00,5.130000000000000000e+03
1.949317738791422948e-04,2.133048160346515587e+01
3.898635477582845896e-04,3.087943574993751383e+01
5.847953216374269115e-04,3.986353877280940594e+01
7.797270955165691792e-04,1.907576883179533667e+01
9.746588693957114469e-04,1.379984580814357820e+01
1.169590643274853823e-03,2.101224718265434532e+01
1.364522417153995982e-03,1.480183555561912634e+01
1.559454191033138358e-03,4.035073675938471638e+01
1.754385964912280734e-03,2.976117576379419205e+01
1.949317738791422894e-03,1.380943764928248996e+01
2.144249512670565270e-03,3.352354073360961451e+01
2.339181286549707646e-03,2.720221163853020840e+01
2.534113060428850022e-03,4.882659851330424061e+01
2.729044834307991965e-03,4.008547032058174864e+01
2.923976608187134341e-03,5.493507868509862391e+01
3.118908382066276717e-03,2.222166067629234121e+01
3.313840155945419093e-03,2.415838364200497779e+01
3.508771929824561469e-03,3.595119030334985410e+01
3.703703703703703411e-03,3.219354512093710952e+01
3.898635477582845787e-03,1.454638034658655421e+01
4.093567251461988597e-03,1.534872238741402306e+01
4.288499025341130540e-03,3.128372948812782539e+01
4.483430799220272482e-03,2.657497018727532279e+01
4.678362573099415292e-03,1.606067562307826435e+01
4.873294346978557234e-03,2.784792413409168077e+01
5.068226120857700044e-03,3.855318428489204763e+01
5.263157894736841987e-03,2.819591851681668970e+01
5.458089668615983929e-03,5.255858272856194446e+01
5.653021442495126739e-03,3.314395164253662074e+01
5.847953216374268681e-03,2.698915512052754906e+01
6.042884990253411491e-03,1.601939289597071081e+01
6.237816764132553433e-03,1.490910254466047036e+01
6.432748538011695376e-03,2.281799584467663777e+01
6.627680311890838186e-03,2.207678446978718156e+01
6.822612085769980128e-03,2.497429843747909928e+01
7.017543859649122938e-03,2.430150102683393953e+01
7.212475633528264880e-03,2.541572486447893553e+01
7.407407407407406823e-03,3.107541795003656659e+01
7.602339181286549633e-03,1.627473422163258476e+01
7.797270955165691575e-03,1.814678596431183166e+01
7.992202729044833517e-03,2.602838948931501761e+01
8.187134502923977195e-03,2.955274690870937349e+01
8.382066276803119137e-03,1.917571134935644395e+01
8.576998050682261079e-03,3.523444538461059494e+01
8.771929824561403022e-03,1.755162907617259549e+01
8.966861598440544964e-03,2.329665691976382647e+01
9.161793372319688641e-03,2.165248927310897642e+01
9.356725146198830584e-03,1.700907428917827247e+01
9.551656920077972526e-03,3.921903679048475055e+01
9.746588693957114469e-03,3.758383897237322202e+01
9.941520467836256411e-03,3.757791038170978482e+01
1.013645224171540009e-02,4.172835387229206816e+01
1.033138401559454203e-02,3.422562350183272173e+01
1.052631578947368397e-02,2.213240917859761581e+01
1.072124756335282592e-02,3.201411389596621859e+01
1.091617933723196786e-02,5.477815947329140300e+01
1.111111111111111154e-02,3.446769995206355475e+01
1.130604288499025348e-02,4.345935662279774192e+01
1.150097465886939542e-02,2.769355831798879208e+01
1.169590643274853736e-02,1.164107133981734776e+01
1.189083820662767930e-02,2.706784798709708539e+01
1.208576998050682298e-02,2.679264639699982453e+01
1.228070175438596492e-02,5.198850249197924001e+01
1.247563352826510687e-02,1.720280325184739922e+01
1.267056530214424881e-02,2.293717837906512358e+01
1.286549707602339075e-02,5.958866735601176856e+01
1.306042884990253443e-02,1.919856370217970820e+01
1.325536062378167637e-02,1.585185212941163080e+01
1.345029239766081831e-02,3.120363544866165384e+01
1.364522417153996026e-02,2.993105797942521917e+01
1.384015594541910220e-02,2.292633619339690298e+01
1.403508771929824588e-02,3.093667817070807757e+01
1.423001949317738782e-02,5.286559019492338507e+01
1.442495126705652976e-02,2.327147494729195643e+01
1.461988304093567170e-02,2.197502886813753875e+01
1.481481481481481365e-02,1.183306848787839805e+01
1.500974658869395732e-02,2.894266292987807532e+01
1.520467836257309927e-02,2.362913280833095442e+01
1.539961013645224121e-02,3.587721857712551810e+01
1.559454191033138315e-02,2.323967222919436537e+01
1.578947368421052683e-02,2.238623630990661084e+01
1.598440545808966703e-02,2.223003082218918891e+01
1.617933723196881071e-02,2.384858272188106909e+01
1.637426900584795439e-02,2.848480037672669951e+01
1.656920077972709460e-02,1.666101947533146799e+01
1.676413255360623827e-02,3.501600598860566294e+01
1.695906432748537848e-02,2.257324731947490548e+01
1.715399610136452216e-02,1.952842263858713778e+01
1.734892787524366584e-02,3.265878480229581982e+01
1.754385964912280604e-02,1.636083373311367239e+01
1.773879142300194972e-02,1.961240919259168081e+01
1.793372319688108993e-02,3.495635216692920721e+01
1.812865497076023361e-02,3.125312463588928580e+01
1.832358674463937728e-02,2.576272386449194585e+01
1.851851851851851749e-02,3.458374027773120929e+01
1.871345029239766117e-02,2.696091346921893006e+01
1.890838206627680138e-02,3.393555592192294057e+01
1.910331384015594505e-02,2.191622923958155411e+01
1.929824561403508873e-02,2.847841335580889677e+01
1.949317738791422894e-02,2.407214973576703443e+01
1.968810916179337261e-02,2.903803334136479108e+01
1.988304093567251282e-02,4.900401673016912696e+01
2.007797270955165650e-02,4.532314537807781818e+01
2.027290448343080018e-02,3.511471443778319212e+01
2.046783625730994038e-02,3.876249555846865746e+01
2.066276803118908406e-02,5.434989461079361917e+01
2.085769980506822427e-02,2.542048637687913981e+01
2.105263157894736795e-02,3.727340129912518307e+01
2.124756335282651162e-02,3.505120910162756331e+01
2.144249512670565183e-02,2.937061974779560103e+01
2.163742690058479551e-02,2.551038921229511658e+01
2.183235867446393572e-02,3.519395104585809264e+01
2.202729044834307939e-02,2.763696395345428769e+01
