Freq,Magnitude
0.000000000000000000e+00,5.865000000000000000e+03
1.705029838022165329e-04,1.751643054544769029e+02
3.410059676044330658e-04,1.420042350442905388e+02
5.115089514066495716e-04,1.500907329641273975e+02
6.820119352088661316e-04,1.269795691223147429e+02
8.525149190110826915e-04,1.476791378968452477e+02
1.023017902813299143e-03,1.177997991659380119e+02
1.193520886615515812e-03,1.260286961938921451e+02
1.364023870417732263e-03,1.271096079894818729e+02
1.534526854219948715e-03,1.285906034909103255e+02
1.705029838022165383e-03,1.169059484613880500e+02
1.875532821824381835e-03,1.208602347947301183e+02
2.046035805626598286e-03,1.207260434285482518e+02
2.216538789428814955e-03,9.758099741816032235e+01
2.387041773231031623e-03,9.408455287064040817e+01
2.557544757033247858e-03,9.408903453575101139e+01
2.728047740835464526e-03,9.564047943311241795e+01
2.898550724637681195e-03,1.036317475287568186e+02
3.069053708439897429e-03,8.029286803002420925e+01
3.239556692242114098e-03,8.863530656861449586e+01
3.410059676044330766e-03,7.619178669810651172e+01
3.580562659846547001e-03,9.308714019593740829e+01
3.751065643648763669e-03,1.083104395780506195e+02
3.921568627450980338e-03,8.113454573705591599e+01
4.092071611253196572e-03,5.851889158546001113e+01
4.262574595055413675e-03,5.566853547058617124e+01
4.433077578857629909e-03,7.331966514720286909e+01
4.603580562659846144e-03,7.454136984453604953e+01
4.774083546462063246e-03,8.277570860477779036e+01
4.944586530264279481e-03,6.175294539305775743e+01
5.115089514066495716e-03,1.334101370772711732e+02
5.285592497868712818e-03,8.508471333273534754e+01
5.456095481670929052e-03,7.601542986009657454e+01
5.626598465473145287e-03,9.973704497350075826e+01
5.797101449275362389e-03,5.921297145899578140e+01
5.967604433077578624e-03,6.312128380213056289e+01
6.138107416879794859e-03,7.928639441589379544e+01
6.308610400682011961e-03,7.246638568522192259e+01
6.479113384484228196e-03,9.024676467677498692e+01
6.649616368286444430e-03,9.043770828623108571e+01
6.820119352088661532e-03,6.884671131147032952e+01
6.990622335890877767e-03,6.218543073613147953e+01
7.161125319693094002e-03,6.152468080113929005e+01
7.331628303495311104e-03,5.570529035228944537e+01
7.502131287297527339e-03,4.364982053291454633e+01
7.672634271099743573e-03,6.829492214173215814e+01
7.843137254901960675e-03,6.450716829410575315e+01
8.013640238704176910e-03,5.209684164350326796e+01
8.184143222506393145e-03,5.003429737929747034e+01
8.354646206308609380e-03,6.967028714358714581e+01
8.525149190110827349e-03,3.581373147148307368e+01
8.695652173913043584e-03,5.564995850731676796e+01
8.866155157715259819e-03,3.958120688035037205e+01
9.036658141517476053e-03,6.422878994073434455e+01
9.207161125319692288e-03,6.396310225918779224e+01
9.377664109121908523e-03,8.848212348283345818e+01
9.548167092924126492e-03,4.100705022015710455e+01
9.718670076726342727e-03,3.416931077455720356e+01
9.889173060528558962e-03,6.529713184995299002e+01
1.005967604433077520e-02,3.514164310778468092e+01
1.023017902813299143e-02,5.870000190979882859e+01
1.040068201193520767e-02,7.156794704927237660e+01
1.057118499573742564e-02,5.235210968828241107e+01
1.074168797953964187e-02,6.118673534601690278e+01
1.091219096334185810e-02,5.165035988794546995e+01
1.108269394714407434e-02,4.644413205014827639e+01
1.125319693094629057e-02,6.580829604038447656e+01
1.142369991474850854e-02,4.977547583891728777e+01
1.159420289855072478e-02,5.671412225069299495e+01
1.176470588235294101e-02,5.233288777217026677e+01
1.193520886615515725e-02,6.378755990976241463e+01
1.210571184995737348e-02,6.888218325082864624e+01
1.227621483375958972e-02,5.959984718425047134e+01
1.244671781756180769e-02,6.853778628814136198e+01
1.261722080136402392e-02,6.623874026969674844e+01
1.278772378516624016e-02,5.967014269983060615e+01
1.295822676896845639e-02,4.865513877957913280e+01
1.312872975277067263e-02,6.886077409432148499e+01
1.329923273657288886e-02,5.704701056354548427e+01
1.346973572037510683e-02,5.692700069804770635e+01
1.364023870417732306e-02,4.300572591700904468e+01
1.381074168797953930e-02,4.101800720349591955e+01
1.398124467178175553e-02,6.276014904987022192e+01
1.415174765558397177e-02,5.197341792603457122e+01
1.432225063938618800e-02,6.015005518587022237e+01
1.449275362318840597e-02,5.120611767719923080e+01
1.466325660699062221e-02,4.220594953118298065e+01
1.483375959079283844e-02,4.380224144475670300e+01
1.500426257459505468e-02,5.911478123789731143e+01
1.517476555839727091e-02,3.610488984861031980e+01
1.534526854219948715e-02,5.262648157981057295e+01
1.551577152600170512e-02,7.220649678627903256e+01
1.568627450980392135e-02,7.721460767840247286e+01
1.585677749360613759e-02,3.774272132903261223e+01
1.602728047740835382e-02,3.065460211983987548e+01
1.619778346121057006e-02,3.710378846765283356e+01
1.636828644501278629e-02,3.665666103947211241e+01
1.653878942881500252e-02,5.598199673714793079e+01
1.670929241261721876e-02,2.726908178647139636e+01
1.687979539641943846e-02,3.085881507290508807e+01
1.705029838022165470e-02,3.092406942604663911e+01
1.722080136402387093e-02,3.094271256855955343e+01
1.739130434782608717e-02,5.964055593569850089e+01
1.756180733162830340e-02,4.714526793021934736e+01
1.773231031543051964e-02,3.901916121072910215e+01
1.790281329923273587e-02,3.549543081198190464e+01
1.807331628303495211e-02,5.579582368777094814e+01
1.824381926683716834e-02,5.466507212318238373e+01
1.841432225063938458e-02,3.478164959139679269e+01
1.858482523444160081e-02,2.326183950863166672e+01
1.875532821824381705e-02,2.991639561907204836e+01
1.892583120204603675e-02,2.228259163696744949e+01
1.909633418584825298e-02,5.219175392069426067e+01
1.926683716965046922e-02,4.625326873898427493e+01
1.943734015345268545e-02,3.535029672423603841e+01
